                 species,common_name,length,weight,fullness,weight_stomach_full,               prey_name,year,station,  lat,    lon,habitat
  Oncorhynchus_gorbuscha,          Pink_Adult,448,900,50,17,    Fish;Unident._Larvae,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,448,900,50,17,              Zoeae;Crab,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,473,1100,100,45,               Pteropods,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,543,1900,125,77,               Pteropods,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,442,1600,50,20,              Zoeae;Crab,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,500,1250,50,25,               Pteropods,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,495,1300,50,27,               Pteropods,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,495,1300,50,27,     Zoeae;Unkn._Decapod,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,494,1300,50,19,              Zoeae;Crab,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,516,1550,10,19,               Pteropods,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,487,1250,25,26,              Zoeae;Crab,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,429,950,50,29,             Euphausiids,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,429,950,50,29,     Zoeae;Unkn._Decapod,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,416,900,10,10,              Zoeae;Crab,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,429,700,75,29,               Pteropods,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,461,1100,75,38,               Pteropods,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,528,1600,75,40,            Fish;Unknown,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,528,1600,75,40,               Pteropods,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,499,1400,100,32,           Crab_Megalops,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,464,1250,50,20,            Fish;Unknown,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,464,1250,50,20,               Pteropods,1999,    ISA,58.22,-135.53, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,464,1250,50,20,              Zoeae;Crab,1999,    ISA,58.22,-135.53, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,367,650,10,10,             Euphausiids,1999,    ISB,58.24,-135.49, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,359,490,10,15,               Pteropods,1999,    ISB,58.24,-135.49, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,371,480,10,12,               Pteropods,1999,    ISB,58.24,-135.49, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,344,425,25,13,               Pteropods,1999,    ISB,58.24,-135.49, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,341,440,125,26,        Fish;Juv._Salmon,1999,    ISB,58.24,-135.49, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,341,460,125,28,        Fish;Juv._Salmon,1999,    ISB,58.24,-135.49, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,365,500,100,17,                 Jellies,1999,    ISB,58.24,-135.49, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,365,500,100,17,               Pteropods,1999,    ISB,58.24,-135.49, Strait
